Customer_ID,Name,Age,SSN,Occupation,Annual_Income
CUS_0xd40,Aaron Maashoh,23,821-00-0265,Scientist,19114.12
CUS_0x21b1,Rick Rothackerj,28_,004-07-5839,_______,34847.84
CUS_0x2dbc,Langep,34,486-85-3974,_______,143162.64
CUS_0xb891,Jasond,54,072-31-6145,Entrepreneur,30689.89
CUS_0x1cdb,Deepaa,21,615-06-7821,Developer,35547.71_
CUS_0x95ee,Np,31,612-70-8987,Lawyer,73928.46
CUS_0x284a,Nadiaq,33,411-51-0676,Lawyer,131313.4
CUS_0x5407,Annk,7580,500-92-6408,Media_Manager,34081.38_
CUS_0x4157,,23,070-19-1622,Doctor,114838.41
CUS_0xba08,Jamesj,44,366-68-1681,Journalist,31370.8
CUS_0xa66b,,40,221-30-8554,Teacher,33751.27
CUS_0xc0ab,Soyoungd,32,342-90-2649,Engineer,88640.24
CUS_0x3e45,Harriet McLeodd,35,414-53-2918,Entrepreneur,54392.16
CUS_0x6c66,Sinead Carews,39,328-33-6328,Manager,8701.545
CUS_0xff4,Poornimaf,36,655-05-7666,Entrepreneur,25546.26
CUS_0x33d2,Chalmersa,30,965-46-2491,Scientist,31993.78
CUS_0x6070,Parkm,20,891-55-9364,Accountant,92047.08
CUS_0xfdb,Patrickg,45,928-91-4452,Teacher,32284.62
CUS_0x3553,Laurence Frosty,26,084-25-3745,Musician,97791.42
CUS_0x4100,Reema,31,068-83-4394,Entrepreneur,19300.34
CUS_0x132f,,41,#F%$D@*&8,Musician,19514.88
CUS_0xa16e,Lee Chyenz,41,905-50-7912,Media_Manager,10183.015
CUS_0xac86,,19,028-16-4402,Entrepreneur,106733.13
CUS_0x5b48,,31_,706-95-0150,Lawyer,12600.445
CUS_0xa5f9,Rickt,34,189-09-5267,Mechanic,57983.12
CUS_0x4d43,Reijik,48,013-39-0742,Entrepreneur,20787.69
CUS_0xb95f,Ashleyk,30,467-13-1148,Writer,34290.12
CUS_0x3edc,Williamso,32,663-16-3845,Accountant,43070.24
CUS_0xbffe,Dhanya Skariachano,40,#F%$D@*&8,Architect,28572.39
CUS_0xb681,Sarahb,37,904-88-7361,Manager,39641.54
CUS_0x9a71,Mukhopadhyayc,54_,889-07-2357,Scientist,20186.02
CUS_0x6048,Ayeshaz,43,425-47-6723,Musician,18627.64
CUS_0x95b5,Lisa Baertleinu,21_,602-55-1355,Engineer,12986.745
CUS_0x4004,Carlosj,43,679-26-6464,Writer,58317
CUS_0xb101,Andreas Cremerf,36,253-91-2822,Scientist,42171.98
CUS_0x9b94,Bri,36,734-54-7098,Manager,71681.4
CUS_0x4080,ra Alperx,6409,995-37-8920,Mechanic,29469.98
CUS_0x706a,Matt Falloonz,19,431-58-4893,Engineer,72559.36
CUS_0x42ac,Lawrencea,36,700-60-3660,Musician,15566.02
CUS_0x571f,Emily Flitterl,18,397-28-9675,Developer,66567.32
CUS_0xb5ff,Nateg,32,060-81-1328,Media_Manager,12909.895
CUS_0x6a1b,Toonkeln,849,252-50-2326,Accountant,30788.44
CUS_0x9bc1,Jaisinghanij,42,445-18-4420,Architect,20574.47
CUS_0xc65,Pomeroyi,21,473-91-5845,Lawyer,148699.32
CUS_0xaedb,Olivia Oranr,19,272-47-1135,Musician,85554.03
CUS_0x8e9b,Rachelle Younglaic,15,925-51-5335,Entrepreneur,55829.79
CUS_0x609d,,27,911-47-6879,Architect,19717385
CUS_0x75c6,"""John ODonnell""p",30,587-65-8904,Teacher,87215.68
CUS_0x9b3c,Scheydere,43,224-48-7837,Lawyer,81842.28
CUS_0x22a3,Nate Raymondj,38,477-90-5881,Doctor,95956.5
CUS_0xb14,,25,#F%$D@*&8,Manager,49967.01
CUS_0xb986,Simon Jessope,14,180-88-7800,Developer,39887.22
CUS_0xbe1b,Kazunorit,43,853-17-1579,Developer,14129.76
CUS_0x9ce6,Ekr,42,101-11-3105,Developer,123732.32
CUS_0x6ffb,Herbert Lashb,36,716-35-4628,Writer,17251.38
CUS_0x4315,Christophd,22,908-69-0212,Entrepreneur,36822.29
CUS_0x3f5b,Mikeh,25,744-11-7914,Doctor,80108.31
CUS_0x9d78,Tim Hepherp,20,423-77-6457,Scientist,69977.6
CUS_0x47db,Granto,16,507-34-4117,Musician,78988.48
CUS_0x8f17,Ermans,45,794-17-4490,Journalist,41746.76
CUS_0x7d0b,Isabel Reynoldsb,21,226-77-0587,Media_Manager,19981.6
CUS_0x7504,Laup,18,389-89-4542,_______,73737.36
CUS_0x774,Christopher Doeringv,33,761-11-3016,Musician,88362.46
CUS_0x9f70,Michelley,45,147-76-6929,Entrepreneur,118248.6
CUS_0xab76,Stempelp,26,878-90-6321,Scientist,60162.1
CUS_0x5cdf,Wohli,17,616-36-8188,Musician,75273.24
CUS_0x2184,Goldsteinv,18,496-44-5947,Media_Manager,54820.89
CUS_0xa156,Silvia Aloisiq,42,405-46-7599,Entrepreneur,58674.66
CUS_0x74f2,Colew,30,755-18-0308,Architect,30390.44
CUS_0x308b,Longstrethy,42,547-23-7195,Doctor,45207.54
CUS_0x2827,Lisah,-500,486-07-1289,Scientist,144546.72
CUS_0xa295,Patrick Temple-Westf,38,605-63-9678,Engineer,30346.35
CUS_0x6c2e,Dowsettk,46,558-25-1337,Mechanic,18681.465
CUS_0x384c,David Henryp,41,813-91-8749,Scientist,9841.34
CUS_0x6cbb,Oreskovicv,35,308-38-8791,Media_Manager,72330.98
CUS_0x36ab,Svea Herbst-Baylisss,1032,925-44-1671,Teacher,43241.49
CUS_0x6649,Slaterf,19,548-03-9919,_______,34106.78
CUS_0x6856,Gellerp,24,251-77-0979,Teacher,129067.59
CUS_0xa27e,Papadimaso,34,898-94-0497,Architect,17001.34
CUS_0x700d,Blenkinsopc,21,992-49-2793,Accountant,44719.17
CUS_0x78e0,Tagarish,47,352-67-4436,Accountant,17787.34
CUS_0x6794,Raymondl,-500,204-14-2702,Teacher,103353.06
CUS_0xe2c,Andreasc,38,755-51-7133,Journalist,31021.24
CUS_0x36bb,Elinor Comlaye,36,837-45-5178,Journalist,134978.24
CUS_0xa77f,,28_,074-21-6507,Writer,39800.12
CUS_0x1e70,Alexh,17,772-58-9547,Manager,14841.35_
CUS_0xa335,Lisa Baertleink,21,835-41-6871,Architect,66105.4
CUS_0x71e0,Aruna Viswanathau,28,330-96-0638,Mechanic,15398.95
CUS_0x4af0,Nicolacih,18,397-45-5329,Developer,27070.07
CUS_0x3861,Fiona Ortizx,53_,212-32-2085,Engineer,17992.775
CUS_0x240d,Taiga Uranakan,55,087-22-6137,Musician,139354.48
CUS_0x2652,,22,062-29-3192,Teacher,18305.25
CUS_0x259a,Allison Martelly,25,727-40-9990,Journalist,27865.26
CUS_0x28b5,Stempeln,36,016-73-2103,Architect,23404.86
CUS_0x8643,Steve Slatery,33,198-08-9791,Musician,14205.09
CUS_0x12d5,ita Bosed,28,518-01-2262,Scientist,62320.56
